DateKey,AccountKey,Amount,ScenarioKey
201001,205,891.67,1
201001,310,802.5,1
201001,309,125,1
201001,206,133.92,1
201001,207,0,1
201001,208,474.42,1
201002,205,891.67,1
201002,310,802.5,1
201002,309,125,1
201002,206,133.92,1
201002,207,0,1
201002,208,474.42,1
201003,205,891.67,1
201003,310,802.5,1
201003,309,125,1
201003,206,133.92,1
201003,207,0,1
201003,208,474.42,1
201004,205,891.67,1
201004,310,802.5,1
201004,309,125,1
201004,206,133.92,1
201004,207,0,1
201004,208,474.42,1
201005,205,891.67,1
201005,310,802.5,1
201005,309,125,1
201005,206,133.92,1
201005,207,0,1
201005,208,474.42,1
201006,205,891.67,1
201006,310,802.5,1
201006,309,125,1
201006,206,133.92,1
201006,207,0,1
201006,208,474.42,1
201007,205,891.67,1
201007,310,802.5,1
201007,309,125,1
201007,206,133.92,1
201007,207,0,1
201007,208,474.42,1
201008,205,891.67,1
201008,310,802.5,1
201008,309,125,1
201008,206,133.92,1
201008,207,0,1
201008,208,474.42,1
201009,205,891.67,1
201009,310,802.5,1
201009,309,125,1
201009,206,133.92,1
201009,207,0,1
201009,208,474.42,1
201010,205,891.67,1
201010,310,802.5,1
201010,309,125,1
201010,206,133.92,1
201010,207,0,1
201010,208,474.42,1
201011,205,891.67,1
201011,310,802.5,1
201011,309,125,1
201011,206,133.92,1
201011,207,0,1
201011,208,474.42,1
201012,205,891.63,1
201012,310,802.5,1
201012,309,125,1
201012,206,133.88,1
201012,207,0,1
201012,208,474.38,1
201101,205,952.84,1
201101,310,857.56,1
201101,309,132.51,1
201101,206,143.45,1
201101,207,0,1
201101,208,464.89,1
201102,205,952.84,1
201102,310,857.56,1
201102,309,132.51,1
201102,206,143.45,1
201102,207,0,1
201102,208,464.89,1
201103,205,952.84,1
201103,310,857.56,1
201103,309,132.51,1
201103,206,143.45,1
201103,207,0,1
201103,208,464.89,1
201104,205,952.84,1
201104,310,857.56,1
201104,309,132.51,1
201104,206,143.45,1
201104,207,0,1
201104,208,464.89,1
201105,205,952.84,1
201105,310,857.56,1
201105,309,132.51,1
201105,206,143.45,1
201105,207,0,1
201105,208,464.89,1
201106,205,952.84,1
201106,310,857.56,1
201106,309,132.51,1
201106,206,143.45,1
201106,207,0,1
201106,208,464.89,1
201107,205,952.84,1
201107,310,857.56,1
201107,309,132.51,1
201107,206,143.45,1
201107,207,0,1
201107,208,464.89,1
201108,205,952.84,1
201108,310,857.56,1
201108,309,132.51,1
201108,206,143.45,1
201108,207,0,1
201108,208,464.89,1
201109,205,952.84,1
201109,310,857.56,1
201109,309,132.51,1
201109,206,143.45,1
201109,207,0,1
201109,208,464.89,1
201110,205,952.84,1
201110,310,857.56,1
201110,309,132.51,1
201110,206,143.45,1
201110,207,0,1
201110,208,464.89,1
201111,205,952.84,1
201111,310,857.56,1
201111,309,132.51,1
201111,206,143.45,1
201111,207,0,1
201111,208,464.89,1
201112,205,952.86,1
201112,310,857.53,1
201112,309,132.49,1
201112,206,143.39,1
201112,207,0,1
201112,208,464.87,1
201201,205,1018.39,1
201201,310,916.55,1
201201,309,141.78,1
201201,206,153.63,1
201201,207,0,1
201201,208,454.7,1
201202,205,1018.39,1
201202,310,916.55,1
201202,309,141.78,1
201202,206,153.63,1
201202,207,0,1
201202,208,454.7,1
201203,205,1018.39,1
201203,310,916.55,1
201203,309,141.78,1
201203,206,153.63,1
201203,207,0,1
201203,208,454.7,1
201204,205,1018.39,1
201204,310,916.55,1
201204,309,141.78,1
201204,206,153.63,1
201204,207,0,1
201204,208,454.7,1
201205,205,1018.39,1
201205,310,916.55,1
201205,309,141.78,1
201205,206,153.63,1
201205,207,0,1
201205,208,454.7,1
