DateKey,AccountKey,Amount,ScenarioKey
201001,301,-33.33,1
201001,302,-34.78,1
201001,303,5.17,1
201001,304,-53,1
201001,212,0,1
201001,305,180.25,1
201001,306,-125,1
201001,307,-141.27,1
201001,308,38.98,1
201002,301,-33.33,1
201002,302,-34.78,1
201002,303,5.17,1
201002,304,-53,1
201002,212,0,1
201002,305,180.25,1
201002,306,-125,1
201002,307,-141.27,1
201002,308,38.98,1
201003,301,-33.33,1
201003,302,-34.78,1
201003,303,5.17,1
201003,304,-53,1
201003,212,0,1
201003,305,180.25,1
201003,306,-125,1
201003,307,-141.27,1
201003,308,38.98,1
201004,301,-33.33,1
201004,302,-34.78,1
201004,303,5.17,1
201004,304,-53,1
201004,212,0,1
201004,305,180.25,1
201004,306,-125,1
201004,307,-141.27,1
201004,308,38.98,1
201005,301,-33.33,1
201005,302,-34.78,1
201005,303,5.17,1
201005,304,-53,1
201005,212,0,1
201005,305,180.25,1
201005,306,-125,1
201005,307,-141.27,1
201005,308,38.98,1
201006,301,-33.33,1
201006,302,-34.78,1
201006,303,5.17,1
201006,304,-53,1
201006,212,0,1
201006,305,180.25,1
201006,306,-125,1
201006,307,-141.27,1
201006,308,38.98,1
201007,301,-33.33,1
201007,302,-34.78,1
201007,303,5.17,1
201007,304,-53,1
201007,212,0,1
201007,305,180.25,1
201007,306,-125,1
201007,307,-141.27,1
201007,308,38.98,1
201008,301,-33.33,1
201008,302,-34.78,1
201008,303,5.17,1
201008,304,-53,1
201008,212,0,1
201008,305,180.25,1
201008,306,-125,1
201008,307,-141.27,1
201008,308,38.98,1
201009,301,-33.33,1
201009,302,-34.78,1
201009,303,5.17,1
201009,304,-53,1
201009,212,0,1
201009,305,180.25,1
201009,306,-125,1
201009,307,-141.27,1
201009,308,38.98,1
201010,301,-33.33,1
201010,302,-34.78,1
201010,303,5.17,1
201010,304,-53,1
201010,212,0,1
201010,305,180.25,1
201010,306,-125,1
201010,307,-141.27,1
201010,308,38.98,1
201011,301,-33.33,1
201011,302,-34.78,1
201011,303,5.17,1
201011,304,-53,1
201011,212,0,1
201011,305,180.25,1
201011,306,-125,1
201011,307,-141.27,1
201011,308,38.98,1
201012,301,-33.37,1
201012,302,-34.79,1
201012,303,5.14,1
201012,304,-53.04,1
201012,212,0,1
201012,305,180.3,1
201012,306,-125,1
201012,307,-141.28,1
201012,308,39.02,1
201101,301,-18.02,1
201101,302,-17.95,1
201101,303,22.74,1
201101,304,-3.71,1
201101,212,0,1
201101,305,248.87,1
201101,306,-132.51,1
201101,307,-99.09,1
201101,308,56.25,1
201102,301,-18.02,1
201102,302,-17.95,1
201102,303,22.74,1
201102,304,-3.71,1
201102,212,0,1
201102,305,248.87,1
201102,306,-132.51,1
201102,307,-99.09,1
201102,308,56.25,1
201103,301,-18.02,1
201103,302,-17.95,1
201103,303,22.74,1
201103,304,-3.71,1
201103,212,0,1
201103,305,248.87,1
201103,306,-132.51,1
201103,307,-99.09,1
201103,308,56.25,1
201104,301,-18.02,1
201104,302,-17.95,1
201104,303,22.74,1
201104,304,-3.71,1
201104,212,0,1
201104,305,248.87,1
201104,306,-132.51,1
201104,307,-99.09,1
201104,308,56.25,1
201105,301,-18.02,1
201105,302,-17.95,1
201105,303,22.74,1
201105,304,-3.71,1
201105,212,0,1
201105,305,248.87,1
201105,306,-132.51,1
201105,307,-99.09,1
201105,308,56.25,1
201106,301,-18.02,1
201106,302,-17.95,1
201106,303,22.74,1
201106,304,-3.71,1
201106,212,0,1
201106,305,248.87,1
201106,306,-132.51,1
201106,307,-99.09,1
201106,308,56.25,1
201107,301,-18.02,1
201107,302,-17.95,1
201107,303,22.74,1
201107,304,-3.71,1
201107,212,0,1
201107,305,248.87,1
201107,306,-132.51,1
201107,307,-99.09,1
201107,308,56.25,1
201108,301,-18.02,1
201108,302,-17.95,1
201108,303,22.74,1
201108,304,-3.71,1
201108,212,0,1
201108,305,248.87,1
201108,306,-132.51,1
201108,307,-99.09,1
201108,308,56.25,1
201109,301,-18.02,1
201109,302,-17.95,1
201109,303,22.74,1
201109,304,-3.71,1
201109,212,0,1
201109,305,248.87,1
201109,306,-132.51,1
201109,307,-99.09,1
201109,308,56.25,1
201110,301,-18.02,1
201110,302,-17.95,1
201110,303,22.74,1
201110,304,-3.71,1
201110,212,0,1
201110,305,248.87,1
201110,306,-132.51,1
201110,307,-99.09,1
201110,308,56.25,1
201111,301,-18.02,1
201111,302,-17.95,1
201111,303,22.74,1
201111,304,-3.71,1
201111,212,0,1
201111,305,248.87,1
201111,306,-132.51,1
201111,307,-99.09,1
201111,308,56.25,1
201112,301,-18.02,1
201112,302,-17.94,1
201112,303,22.68,1
201112,304,-3.68,1
201112,212,0,1
201112,305,248.84,1
201112,306,-132.49,1
201112,307,-99.11,1
201112,308,56.26,1
201201,301,-8.07,1
201201,302,-6.05,1
201201,303,1.96,1
201201,304,-2.82,1
201201,212,0,1
201201,305,257.81,1
201201,306,-141.78,1
201201,307,-99.68,1
201201,308,72.6,1
201202,301,-8.07,1
201202,302,-6.05,1
201202,303,1.96,1
201202,304,-2.82,1
201202,212,0,1
201202,305,257.81,1
201202,306,-141.78,1
201202,307,-99.68,1
201202,308,72.6,1
201203,301,-8.07,1
201203,302,-6.05,1
201203,303,1.96,1
201203,304,-2.82,1
201203,212,0,1
201203,305,257.81,1
201203,306,-141.78,1
201203,307,-99.68,1
201203,308,72.6,1
201204,301,-8.07,1
201204,302,-6.05,1
201204,303,1.96,1
201204,304,-2.82,1
201204,212,0,1
201204,305,257.81,1
201204,306,-141.78,1
201204,307,-99.68,1
201204,308,72.6,1
201205,301,-8.07,1
201205,302,-6.05,1
201205,303,1.96,1
201205,304,-2.82,1
201205,212,0,1
201205,305,257.81,1
201205,306,-141.78,1
201205,307,-99.68,1
201205,308,72.6,1
201206,301,-8.07,1
201206,302,-6.05,1
201206,303,1.96,1
201206,304,-2.82,1
201206,212,0,1
201206,305,257.81,1
201206,306,-141.78,1
201206,307,-99.68,1
201206,308,72.6,1
201207,301,-8.07,1
201207,302,-6.05,1
201207,303,1.96,1
201207,304,-2.82,1
201207,212,0,1
201207,305,257.81,1
201207,306,-141.78,1
201207,307,-99.68,1
201207,308,72.6,1
201208,301,-8.07,1
201208,302,-6.05,1
201208,303,1.96,1
201208,304,-2.82,1
201208,212,0,1
201208,305,257.81,1
201208,306,-141.78,1
201208,307,-99.68,1
201208,308,72.6,1
201209,301,-8.07,1
201209,302,-6.05,1
201209,303,1.96,1
201209,304,-2.82,1
201209,212,0,1
201209,305,257.81,1
201209,306,-141.78,1
201209,307,-99.68,1
201209,308,72.6,1
201210,301,-8.07,1
201210,302,-6.05,1
201210,303,1.96,1
201210,304,-2.82,1
201210,212,0,1
201210,305,257.81,1
201210,306,-141.78,1
201210,307,-99.68,1
201210,308,72.6,1
201211,301,-8.07,1
201211,302,-6.05,1
201211,303,1.96,1
201211,304,-2.82,1
201211,212,0,1
201211,305,257.81,1
201211,306,-141.78,1
201211,307,-99.68,1
201211,308,72.6,1
201212,301,-8.03,1
201212,302,-6.05,1
201212,303,1.99,1
201212,304,-2.78,1
201212,212,0,1
201212,305,257.79,1
201212,306,-141.74,1
201212,307,-99.73,1
201212,308,72.58,1
201301,301,-16.2,1
201301,302,24.74,1
201301,303,-30.99,1
201301,304,-3.48,1
201301,212,0,1
201301,305,279.02,1
201301,306,-148.82,1
201301,307,-113.48,1
201301,308,89.32,1
201302,301,-16.2,1
201302,302,24.74,1
201302,303,-30.99,1
201302,304,-3.48,1
201302,212,0,1
201302,305,279.02,1
201302,306,-148.82,1
201302,307,-113.48,1
201302,308,89.32,1
201303,301,-16.2,1
201303,302,24.74,1
201303,303,-30.99,1
201303,304,-3.48,1
201303,212,0,1
201303,305,279.02,1
201303,306,-148.82,1
201303,307,-113.48,1
201303,308,89.32,1
201304,301,-16.2,1
201304,302,24.74,1
201304,303,-30.99,1
201304,304,-3.48,1
201304,212,0,1
201304,305,279.02,1
201304,306,-148.82,1
201304,307,-113.48,1
201304,308,89.32,1
201305,301,-16.2,1
201305,302,24.74,1
201305,303,-30.99,1
201305,304,-3.48,1
201305,212,0,1
201305,305,279.02,1
201305,306,-148.82,1
201305,307,-113.48,1
201305,308,89.32,1
201306,301,-16.2,1
201306,302,24.74,1
201306,303,-30.99,1
201306,304,-3.48,1
201306,212,0,1
201306,305,279.02,1
201306,306,-148.82,1
201306,307,-113.48,1
201306,308,89.32,1
201307,301,-16.2,1
201307,302,24.74,1
201307,303,-30.99,1
201307,304,-3.48,1
201307,212,0,1
201307,305,279.02,1
201307,306,-148.82,1
201307,307,-113.48,1
201307,308,89.32,1
201308,301,-16.2,1
201308,302,24.74,1
201308,303,-30.99,1
201308,304,-3.48,1
201308,212,0,1
201308,305,279.02,1
