DateKey,AccountKey,Amount,ScenarioKey
201001,214,780.33,1
201001,108,0,1
201001,109,31.21,1
201001,110,1.25,1
201002,214,780.33,1
201002,108,0,1
201002,109,31.21,1
201002,110,1.25,1
201003,214,780.33,1
201003,108,0,1
201003,109,31.21,1
201003,110,1.25,1
201004,214,780.33,1
201004,108,0,1
201004,109,31.21,1
201004,110,1.25,1
201005,214,780.33,1
201005,108,0,1
201005,109,31.21,1
201005,110,1.25,1
201006,214,780.33,1
201006,108,0,1
201006,109,31.21,1
201006,110,1.25,1
201007,214,780.33,1
201007,108,0,1
201007,109,31.21,1
201007,110,1.25,1
201008,214,780.33,1
201008,108,0,1
201008,109,31.21,1
201008,110,1.25,1
201009,214,780.33,1
201009,108,0,1
201009,109,31.21,1
201009,110,1.25,1
201010,214,780.33,1
201010,108,0,1
201010,109,31.21,1
201010,110,1.25,1
201011,214,780.33,1
201011,108,0,1
201011,109,31.21,1
201011,110,1.25,1
201012,214,780.33,1
201012,108,0,1
201012,109,31.25,1
201012,110,1.25,1
201101,214,776.62,1
201101,108,0,1
201101,109,31.07,1
201101,110,0.39,1
201102,214,776.62,1
201102,108,0,1
201102,109,31.07,1
201102,110,0.39,1
201103,214,776.62,1
201103,108,0,1
201103,109,31.07,1
201103,110,0.39,1
201104,214,776.62,1
201104,108,0,1
201104,109,31.07,1
201104,110,0.39,1
201105,214,776.62,1
201105,108,0,1
201105,109,31.07,1
201105,110,0.39,1
201106,214,776.62,1
201106,108,0,1
201106,109,31.07,1
201106,110,0.39,1
201107,214,776.62,1
201107,108,0,1
201107,109,31.07,1
201107,110,0.39,1
201108,214,776.62,1
201108,108,0,1
201108,109,31.07,1
201108,110,0.39,1
201109,214,776.62,1
201109,108,0,1
201109,109,31.07,1
201109,110,0.39,1
201110,214,776.62,1
201110,108,0,1
201110,109,31.07,1
201110,110,0.39,1
201111,214,776.62,1
201111,108,0,1
201111,109,31.07,1
201111,110,0.39,1
201112,214,776.65,1
201112,108,0,1
201112,109,31.01,1
201112,110,0.39,1
201201,214,773.81,1
201201,108,0,1
201201,109,30.95,1
201201,110,0.56,1
201202,214,773.81,1
201202,108,0,1
201202,109,30.95,1
201202,110,0.56,1
201203,214,773.81,1
201203,108,0,1
201203,109,30.95,1
201203,110,0.56,1
201204,214,773.81,1
201204,108,0,1
201204,109,30.95,1
201204,110,0.56,1
201205,214,773.81,1
201205,108,0,1
201205,109,30.95,1
201205,110,0.56,1
201206,214,773.81,1
201206,108,0,1
201206,109,30.95,1
201206,110,0.56,1
201207,214,773.81,1
201207,108,0,1
201207,109,30.95,1
201207,110,0.56,1
201208,214,773.81,1
201208,108,0,1
201208,109,30.95,1
201208,110,0.56,1
201209,214,773.81,1
201209,108,0,1
201209,109,30.95,1
201209,110,0.56,1
201210,214,773.81,1
201210,108,0,1
201210,109,30.95,1
201210,110,0.56,1
201211,214,773.81,1
201211,108,0,1
201211,109,30.95,1
201211,110,0.56,1
201212,214,773.76,1
201212,108,0,1
201212,109,30.98,1
201212,110,0.59,1
201301,214,770.33,1
201301,108,0,1
201301,109,30.81,1
201301,110,0.73,1
201302,214,770.33,1
201302,108,0,1
201302,109,30.81,1
201302,110,0.73,1
201303,214,770.33,1
201303,108,0,1
201303,109,30.81,1
201303,110,0.73,1
201304,214,770.33,1
201304,108,0,1
201304,109,30.81,1
201304,110,0.73,1
201305,214,770.33,1
201305,108,0,1
201305,109,30.81,1
201305,110,0.73,1
201306,214,770.33,1
201306,108,0,1
201306,109,30.81,1
201306,110,0.73,1
201307,214,770.33,1
201307,108,0,1
201307,109,30.81,1
201307,110,0.73,1
201308,214,770.33,1
201308,108,0,1
201308,109,30.81,1
201308,110,0.73,1
201309,214,770.33,1
201309,108,0,1
201309,109,30.81,1
201309,110,0.73,1
201310,214,770.33,1
201310,108,0,1
201310,109,30.81,1
201310,110,0.73,1
201311,214,770.33,1
201311,108,0,1
201311,109,30.81,1
201311,110,0.73,1
201312,214,770.28,1
201312,108,0,1
201312,109,30.85,1
201312,110,0.68,1
201401,214,766.01,1
201401,108,0,1
201401,109,30.64,1
201401,110,0.89,1
201402,214,766.01,1
201402,108,0,1
201402,109,30.64,1
201402,110,0.89,1
201403,214,766.01,1
201403,108,0,1
201403,109,30.64,1
201403,110,0.89,1
201404,214,766.01,1
201404,108,0,1
201404,109,30.64,1
201404,110,0.89,1
201405,214,766.01,1
201405,108,0,1
201405,109,30.64,1
201405,110,0.89,1
201406,214,766.01,1
201406,108,0,1
201406,109,30.64,1
201406,110,0.89,1
201407,214,766.01,1
201407,108,0,1
201407,109,30.64,1
201407,110,0.89,1
201408,214,766.01,1
201408,108,0,1
201408,109,30.64,1
201408,110,0.89,1
201409,214,766.01,1
201409,108,0,1
201409,109,30.64,1
201409,110,0.89,1
201410,214,766.01,1
201410,108,0,1
201410,109,30.64,1
201410,110,0.89,1
201411,214,766.01,1
201411,108,0,1
201411,109,30.64,1
201411,110,0.89,1
201412,214,765.99,1
201412,108,0,1
201412,109,30.64,1
201412,110,0.93,1
201501,214,760.75,1
201501,108,0,1
201501,109,30.43,1
201501,110,0.92,1
201502,214,760.75,1
201502,108,0,1
201502,109,30.43,1
201502,110,0.92,1
201503,214,760.75,1
201503,108,0,1
201503,109,30.43,1
201503,110,0.92,1
201504,214,760.75,1
201504,108,0,1
201504,109,30.43,1
201504,110,0.92,1
201505,214,760.75,1
201505,108,0,1
201505,109,30.43,1
201505,110,0.92,1
201506,214,760.75,1
201506,108,0,1
201506,109,30.43,1
201506,110,0.92,1
201507,214,760.75,1
201507,108,0,1
201507,109,30.43,1
201507,110,0.92,1
201508,214,760.75,1
201508,108,0,1
201508,109,30.43,1
201508,110,0.92,1
201509,214,760.75,1
201509,108,0,1
201509,109,30.43,1
201509,110,0.92,1
201510,214,760.75,1
201510,108,0,1
201510,109,30.43,1
201510,110,0.92,1
201511,214,760.75,1
201511,108,0,1
201511,109,30.43,1
201511,110,0.92,1
201512,214,760.8,1
201512,108,0,1
201512,109,30.43,1
201512,110,0.86,1
201601,214,756.65,1
201601,108,0,1
201601,109,30.27,1
201601,110,1.03,1
201602,214,756.65,1
201602,108,0,1
201602,109,30.27,1
201602,110,1.03,1
201603,214,756.65,1
201603,108,0,1
201603,109,30.27,1
201603,110,1.03,1
201604,214,756.65,1
201604,108,0,1
201604,109,30.27,1
201604,110,1.03,1
201605,214,756.65,1
201605,108,0,1
201605,109,30.27,1
201605,110,1.03,1
201606,214,756.65,1
201606,108,0,1
201606,109,30.27,1
201606,110,1.03,1
201607,214,756.65,1
201607,108,0,1
201607,109,30.27,1
201607,110,1.03,1
201608,214,756.65,1
201608,108,0,1
201608,109,30.27,1
201608,110,1.03,1
201609,214,756.65,1
201609,108,0,1
201609,109,30.27,1
201609,110,1.03,1
201610,214,756.65,1
201610,108,0,1
201610,109,30.27,1
201610,110,1.03,1
201611,214,756.65,1
201611,108,0,1
201611,109,30.27,1
201611,110,1.03,1
201612,214,756.64,1
201612,108,0,1
201612,109,30.22,1
201612,110,1.03,1
201701,214,753.89,1
201701,108,0,1
201701,109,30.16,1
201701,110,0.53,1
201702,214,753.89,1
201702,108,0,1
201702,109,30.16,1
201702,110,0.53,1
201703,214,753.89,1
201703,108,0,1
201703,109,30.16,1
201703,110,0.53,1
201704,214,753.89,1
201704,108,0,1
201704,109,30.16,1
201704,110,0.53,1
201705,214,753.89,1
201705,108,0,1
201705,109,30.16,1
201705,110,0.53,1
201706,214,753.89,1
201706,108,0,1
201706,109,30.16,1
201706,110,0.53,1
201707,214,753.89,1
201707,108,0,1
201707,109,30.16,1
201707,110,0.53,1
201708,214,753.89,1
201708,108,0,1
201708,109,30.16,1
201708,110,0.53,1
