DateKey,AccountKey,Amount,ScenarioKey
201001,216,833.33,1
201001,217,171.6,1
201001,218,88.27,1
201002,216,833.33,1
201002,217,171.6,1
201002,218,88.27,1
201003,216,833.33,1
201003,217,171.6,1
201003,218,88.27,1
201004,216,833.33,1
201004,217,171.6,1
201004,218,88.27,1
201005,216,833.33,1
201005,217,171.6,1
201005,218,88.27,1
201006,216,833.33,1
201006,217,171.6,1
201006,218,88.27,1
201007,216,833.33,1
201007,217,171.6,1
201007,218,88.27,1
201008,216,833.33,1
201008,217,171.6,1
201008,218,88.27,1
201009,216,833.33,1
201009,217,171.6,1
201009,218,88.27,1
201010,216,833.33,1
201010,217,171.6,1
201010,218,88.27,1
201011,216,833.33,1
201011,217,171.6,1
201011,218,88.27,1
201012,216,833.37,1
201012,217,171.6,1
201012,218,88.24,1
201101,216,833.33,1
201101,217,266.98,1
201101,218,95.38,1
201102,216,833.33,1
201102,217,266.98,1
201102,218,95.38,1
201103,216,833.33,1
201103,217,266.98,1
201103,218,95.38,1
201104,216,833.33,1
201104,217,266.98,1
201104,218,95.38,1
201105,216,833.33,1
201105,217,266.98,1
201105,218,95.38,1
201106,216,833.33,1
201106,217,266.98,1
201106,218,95.38,1
201107,216,833.33,1
201107,217,266.98,1
201107,218,95.38,1
201108,216,833.33,1
201108,217,266.98,1
201108,218,95.38,1
201109,216,833.33,1
201109,217,266.98,1
201109,218,95.38,1
201110,216,833.33,1
201110,217,266.98,1
201110,218,95.38,1
201111,216,833.33,1
201111,217,266.98,1
201111,218,95.38,1
201112,216,833.37,1
201112,217,267.03,1
201112,218,95.43,1
201201,216,833.33,1
201201,217,363.85,1
201201,218,96.87,1
201202,216,833.33,1
201202,217,363.85,1
201202,218,96.87,1
201203,216,833.33,1
201203,217,363.85,1
201203,218,96.87,1
201204,216,833.33,1
201204,217,363.85,1
201204,218,96.87,1
201205,216,833.33,1
201205,217,363.85,1
201205,218,96.87,1
201206,216,833.33,1
201206,217,363.85,1
201206,218,96.87,1
