DateKey,AccountKey,Amount,ScenarioKey
201001,113,75.66,1
201001,112,75.66,1
201002,113,75.66,1
201002,112,75.66,1
201003,113,75.66,1
201003,112,75.66,1
201004,113,75.66,1
201004,112,75.66,1
201005,113,75.66,1
201005,112,75.66,1
201006,113,75.66,1
201006,112,75.66,1
201007,113,75.66,1
201007,112,75.66,1
201008,113,75.66,1
201008,112,75.66,1
201009,113,75.66,1
201009,112,75.66,1
201010,113,75.66,1
201010,112,75.66,1
201011,113,75.66,1
201011,112,75.66,1
201012,113,75.63,1
201012,112,75.63,1
201101,113,81.76,1
201101,112,81.76,1
201102,113,81.76,1
201102,112,81.76,1
201103,113,81.76,1
201103,112,81.76,1
201104,113,81.76,1
201104,112,81.76,1
201105,113,81.76,1
201105,112,81.76,1
201106,113,81.76,1
201106,112,81.76,1
201107,113,81.76,1
201107,112,81.76,1
201108,113,81.76,1
201108,112,81.76,1
201109,113,81.76,1
201109,112,81.76,1
201110,113,81.76,1
201110,112,81.76,1
201111,113,81.76,1
201111,112,81.76,1
201112,113,81.74,1
201112,112,81.74,1
201201,113,83.03,1
201201,112,83.03,1
201202,113,83.03,1
201202,112,83.03,1
201203,113,83.03,1
201203,112,83.03,1
201204,113,83.03,1
201204,112,83.03,1
201205,113,83.03,1
201205,112,83.03,1
201206,113,83.03,1
201206,112,83.03,1
201207,113,83.03,1
201207,112,83.03,1
201208,113,83.03,1
201208,112,83.03,1
201209,113,83.03,1
201209,112,83.03,1
201210,113,83.03,1
201210,112,83.03,1
201211,113,83.03,1
201211,112,83.03,1
201212,113,83.02,1
201212,112,83.02,1
201301,113,94.28,1
201301,112,94.28,1
201302,113,94.28,1
201302,112,94.28,1
201303,113,94.28,1
201303,112,94.28,1
201304,113,94.28,1
201304,112,94.28,1
201305,113,94.28,1
201305,112,94.28,1
201306,113,94.28,1
201306,112,94.28,1
201307,113,94.28,1
201307,112,94.28,1
201308,113,94.28,1
201308,112,94.28,1
201309,113,94.28,1
201309,112,94.28,1
201310,113,94.28,1
201310,112,94.28,1
201311,113,94.28,1
201311,112,94.28,1
201312,113,94.31,1
201312,112,94.31,1
201401,113,102.15,1
201401,112,102.15,1
201402,113,102.15,1
201402,112,102.15,1
201403,113,102.15,1
201403,112,102.15,1
201404,113,102.15,1
201404,112,102.15,1
201405,113,102.15,1
201405,112,102.15,1
201406,113,102.15,1
201406,112,102.15,1
201407,113,102.15,1
201407,112,102.15,1
201408,113,102.15,1
201408,112,102.15,1
201409,113,102.15,1
201409,112,102.15,1
201410,113,102.15,1
201410,112,102.15,1
201411,113,102.15,1
201411,112,102.15,1
201412,113,102.13,1
201412,112,102.13,1
201501,113,96.93,1
201501,112,96.93,1
201502,113,96.93,1
201502,112,96.93,1
201503,113,96.93,1
201503,112,96.93,1
201504,113,96.93,1
201504,112,96.93,1
201505,113,96.93,1
201505,112,96.93,1
201506,113,96.93,1
201506,112,96.93,1
201507,113,96.93,1
201507,112,96.93,1
201508,113,96.93,1
201508,112,96.93,1
201509,113,96.93,1
201509,112,96.93,1
201510,113,96.93,1
201510,112,96.93,1
201511,113,96.93,1
201511,112,96.93,1
201512,113,96.95,1
201512,112,96.95,1
201601,113,96.01,1
201601,112,96.01,1
201602,113,96.01,1
201602,112,96.01,1
201603,113,96.01,1
201603,112,96.01,1
201604,113,96.01,1
201604,112,96.01,1
201605,113,96.01,1
201605,112,96.01,1
201606,113,96.01,1
201606,112,96.01,1
201607,113,96.01,1
201607,112,96.01,1
201608,113,96.01,1
201608,112,96.01,1
201609,113,96.01,1
201609,112,96.01,1
201610,113,96.01,1
201610,112,96.01,1
201611,113,96.01,1
201611,112,96.01,1
201612,113,96.03,1
201612,112,96.03,1
201701,113,72.05,1
201701,112,72.05,1
201702,113,72.05,1
201702,112,72.05,1
201703,113,72.05,1
201703,112,72.05,1
201704,113,72.05,1
201704,112,72.05,1
201705,113,72.05,1
201705,112,72.05,1
201706,113,72.05,1
201706,112,72.05,1
201707,113,72.05,1
201707,112,72.05,1
201708,113,72.05,1
201708,112,72.05,1
201709,113,72.05,1
201709,112,72.05,1
201710,113,72.05,1
201710,112,72.05,1
201711,113,72.05,1
201711,112,72.05,1
201712,113,72.05,1
201712,112,72.05,1
201801,113,12.17,1
201801,112,12.17,1
201802,113,12.17,1
201802,112,12.17,1
201803,113,12.17,1
201803,112,12.17,1
201804,113,12.17,1
201804,112,12.17,1
201805,113,12.17,1
201805,112,12.17,1
201806,113,12.17,1
201806,112,12.17,1
201807,113,12.17,1
201807,112,12.17,1
201808,113,12.17,1
201808,112,12.17,1
201809,113,12.17,1
201809,112,12.17,1
201810,113,12.17,1
201810,112,12.17,1
201811,113,12.17,1
201811,112,12.17,1
201812,113,12.15,1
201812,112,12.15,1
201901,113,-4.18,1
201901,112,-4.18,1
201902,113,-4.18,1
201902,112,-4.18,1
201903,113,-4.18,1
201903,112,-4.18,1
201904,113,-4.18,1
201904,112,-4.18,1
201905,113,-4.18,1
201905,112,-4.18,1
201906,113,-4.18,1
201906,112,-4.18,1
201907,113,-4.18,1
201907,112,-4.18,1
201908,113,-4.18,1
201908,112,-4.18,1
201909,113,-4.18,1
201909,112,-4.18,1
201910,113,-4.18,1
201910,112,-4.18,1
201911,113,-4.18,1
201911,112,-4.18,1
201912,113,-4.17,1
201912,112,-4.17,1
202001,113,75.06,1
202001,112,79.24,1
202002,113,75.06,1
202002,112,79.24,1
202003,113,75.06,1
202003,112,79.24,1
202004,113,75.06,1
202004,112,79.24,1
202005,113,75.06,1
202005,112,79.24,1
202006,113,75.06,1
202006,112,79.24,1
202007,113,75.06,1
202007,112,79.24,1
202008,113,75.06,1
202008,112,79.24,1
202009,113,75.06,1
202009,112,79.24,1
202010,113,75.06,1
202010,112,79.24,1
202011,113,75.06,1
202011,112,79.24,1
202012,113,75.06,1
202012,112,79.23,1
202101,113,107.66,1
202101,112,107.66,1
202102,113,107.66,1
202102,112,107.66,1
202103,113,107.66,1
202103,112,107.66,1
202104,113,107.66,1
202104,112,107.66,1
202105,113,107.66,1
202105,112,107.66,1
202106,113,107.66,1
202106,112,107.66,1
202107,113,107.66,1
202107,112,107.66,1
202108,113,107.66,1
202108,112,107.66,1
202109,113,107.66,1
202109,112,107.66,1
202110,113,107.66,1
202110,112,107.66,1
202111,113,107.66,1
202111,112,107.66,1
202112,113,107.61,1
202112,112,107.61,1
202201,113,127.81,1
202201,112,127.81,1
202202,113,127.81,1
202202,112,127.81,1
202203,113,127.81,1
202203,112,127.81,1
202204,113,127.81,1
202204,112,127.81,1
202205,113,127.81,1
202205,112,127.81,1
202206,113,127.81,1
202206,112,127.81,1
202207,113,127.81,1
