DateKey,AccountKey,Amount,ScenarioKey
201001,202,300,1
201001,203,201.45,1
201001,211,255.17,1
201002,202,300,1
201002,203,201.45,1
201002,211,255.17,1
201003,202,300,1
201003,203,201.45,1
201003,211,255.17,1
201004,202,300,1
201004,203,201.45,1
201004,211,255.17,1
201005,202,300,1
201005,203,201.45,1
201005,211,255.17,1
201006,202,300,1
201006,203,201.45,1
201006,211,255.17,1
201007,202,300,1
201007,203,201.45,1
201007,211,255.17,1
201008,202,300,1
201008,203,201.45,1
201008,211,255.17,1
201009,202,300,1
201009,203,201.45,1
201009,211,255.17,1
201010,202,300,1
201010,203,201.45,1
201010,211,255.17,1
201011,202,300,1
201011,203,201.45,1
201011,211,255.17,1
201012,202,300,1
201012,203,201.42,1
201012,211,255.14,1
201101,202,318.02,1
201101,203,219.4,1
201101,211,277.9,1
201102,202,318.02,1
201102,203,219.4,1
201102,211,277.9,1
201103,202,318.02,1
201103,203,219.4,1
201103,211,277.9,1
201104,202,318.02,1
201104,203,219.4,1
201104,211,277.9,1
201105,202,318.02,1
201105,203,219.4,1
201105,211,277.9,1
201106,202,318.02,1
201106,203,219.4,1
201106,211,277.9,1
201107,202,318.02,1
201107,203,219.4,1
201107,211,277.9,1
201108,202,318.02,1
201108,203,219.4,1
201108,211,277.9,1
201109,202,318.02,1
201109,203,219.4,1
201109,211,277.9,1
201110,202,318.02,1
201110,203,219.4,1
201110,211,277.9,1
201111,202,318.02,1
201111,203,219.4,1
201111,211,277.9,1
201112,202,318.02,1
201112,203,219.36,1
201112,211,277.93,1
201201,202,326.09,1
201201,203,225.45,1
201201,211,279.87,1
201202,202,326.09,1
201202,203,225.45,1
201202,211,279.87,1
201203,202,326.09,1
201203,203,225.45,1
201203,211,279.87,1
201204,202,326.09,1
201204,203,225.45,1
201204,211,279.87,1
201205,202,326.09,1
201205,203,225.45,1
201205,211,279.87,1
201206,202,326.09,1
201206,203,225.45,1
201206,211,279.87,1
201207,202,326.09,1
201207,203,225.45,1
201207,211,279.87,1
201208,202,326.09,1
201208,203,225.45,1
201208,211,279.87,1
201209,202,326.09,1
201209,203,225.45,1
201209,211,279.87,1
201210,202,326.09,1
201210,203,225.45,1
201210,211,279.87,1
201211,202,326.09,1
201211,203,225.45,1
201211,211,279.87,1
201212,202,326.05,1
201212,203,225.41,1
201212,211,279.81,1
201301,202,342.28,1
201301,203,200.7,1
201301,211,248.87,1
201302,202,342.28,1
201302,203,200.7,1
201302,211,248.87,1
201303,202,342.28,1
201303,203,200.7,1
201303,211,248.87,1
201304,202,342.28,1
201304,203,200.7,1
201304,211,248.87,1
201305,202,342.28,1
201305,203,200.7,1
201305,211,248.87,1
201306,202,342.28,1
201306,203,200.7,1
201306,211,248.87,1
201307,202,342.28,1
201307,203,200.7,1
201307,211,248.87,1
201308,202,342.28,1
201308,203,200.7,1
201308,211,248.87,1
201309,202,342.28,1
201309,203,200.7,1
201309,211,248.87,1
201310,202,342.28,1
201310,203,200.7,1
201310,211,248.87,1
201311,202,342.28,1
201311,203,200.7,1
201311,211,248.87,1
201312,202,342.31,1
201312,203,200.75,1
201312,211,248.91,1
201401,202,378.05,1
201401,203,226.51,1
201401,211,268.45,1
201402,202,378.05,1
201402,203,226.51,1
201402,211,268.45,1
201403,202,378.05,1
201403,203,226.51,1
201403,211,268.45,1
201404,202,378.05,1
201404,203,226.51,1
201404,211,268.45,1
201405,202,378.05,1
201405,203,226.51,1
201405,211,268.45,1
201406,202,378.05,1
201406,203,226.51,1
201406,211,268.45,1
201407,202,378.05,1
201407,203,226.51,1
201407,211,268.45,1
201408,202,378.05,1
201408,203,226.51,1
201408,211,268.45,1
201409,202,378.05,1
201409,203,226.51,1
201409,211,268.45,1
201410,202,378.05,1
201410,203,226.51,1
201410,211,268.45,1
201411,202,378.05,1
201411,203,226.51,1
201411,211,268.45,1
201412,202,378.01,1
201412,203,226.45,1
201412,211,268.46,1
201501,202,420.78,1
201501,203,238.09,1
201501,211,302.19,1
201502,202,420.78,1
201502,203,238.09,1
201502,211,302.19,1
201503,202,420.78,1
201503,203,238.09,1
201503,211,302.19,1
201504,202,420.78,1
201504,203,238.09,1
201504,211,302.19,1
201505,202,420.78,1
201505,203,238.09,1
201505,211,302.19,1
201506,202,420.78,1
201506,203,238.09,1
201506,211,302.19,1
201507,202,420.78,1
201507,203,238.09,1
201507,211,302.19,1
201508,202,420.78,1
201508,203,238.09,1
201508,211,302.19,1
201509,202,420.78,1
201509,203,238.09,1
201509,211,302.19,1
201510,202,420.78,1
201510,203,238.09,1
201510,211,302.19,1
201511,202,420.78,1
201511,203,238.09,1
201511,211,302.19,1
201512,202,420.8,1
201512,203,238.07,1
201512,211,302.18,1
201601,202,471.76,1
201601,203,277.19,1
201601,211,316.79,1
201602,202,471.76,1
201602,203,277.19,1
201602,211,316.79,1
201603,202,471.76,1
201603,203,277.19,1
201603,211,316.79,1
201604,202,471.76,1
201604,203,277.19,1
201604,211,316.79,1
201605,202,471.76,1
201605,203,277.19,1
201605,211,316.79,1
201606,202,471.76,1
201606,203,277.19,1
201606,211,316.79,1
201607,202,471.76,1
201607,203,277.19,1
201607,211,316.79,1
201608,202,471.76,1
201608,203,277.19,1
201608,211,316.79,1
201609,202,471.76,1
201609,203,277.19,1
201609,211,316.79,1
201610,202,471.76,1
201610,203,277.19,1
201610,211,316.79,1
201611,202,471.76,1
201611,203,277.19,1
201611,211,316.79,1
201612,202,471.79,1
201612,203,277.21,1
201612,211,316.8,1
201701,202,536.79,1
201701,203,300.18,1
201701,211,341.58,1
201702,202,536.79,1
201702,203,300.18,1
201702,211,341.58,1
201703,202,536.79,1
201703,203,300.18,1
201703,211,341.58,1
201704,202,536.79,1
201704,203,300.18,1
201704,211,341.58,1
201705,202,536.79,1
201705,203,300.18,1
201705,211,341.58,1
201706,202,536.79,1
201706,203,300.18,1
201706,211,341.58,1
201707,202,536.79,1
201707,203,300.18,1
201707,211,341.58,1
201708,202,536.79,1
201708,203,300.18,1
201708,211,341.58,1
201709,202,536.79,1
201709,203,300.18,1
201709,211,341.58,1
201710,202,536.79,1
201710,203,300.18,1
201710,211,341.58,1
201711,202,536.79,1
201711,203,300.18,1
201711,211,341.58,1
201712,202,536.75,1
201712,203,300.17,1
201712,211,341.62,1
201801,202,595.82,1
201801,203,316.8,1
201801,211,359.04,1
201802,202,595.82,1
201802,203,316.8,1
201802,211,359.04,1
201803,202,595.82,1
201803,203,316.8,1
201803,211,359.04,1
201804,202,595.82,1
201804,203,316.8,1
201804,211,359.04,1
201805,202,595.82,1
201805,203,316.8,1
201805,211,359.04,1
201806,202,595.82,1
201806,203,316.8,1
201806,211,359.04,1
201807,202,595.82,1
201807,203,316.8,1
201807,211,359.04,1
201808,202,595.82,1
201808,203,316.8,1
201808,211,359.04,1
201809,202,595.82,1
201809,203,316.8,1
201809,211,359.04,1
201810,202,595.82,1
201810,203,316.8,1
201810,211,359.04,1
201811,202,595.82,1
201811,203,316.8,1
201811,211,359.04,1
201812,202,595.8,1
201812,203,316.8,1
201812,211,359.04,1
201901,202,639.88,1
201901,203,343.77,1
201901,211,353.88,1
201902,202,639.88,1
201902,203,343.77,1
201902,211,353.88,1
201903,202,639.88,1
201903,203,343.77,1
201903,211,353.88,1
201904,202,639.88,1
201904,203,343.77,1
201904,211,353.88,1
201905,202,639.88,1
201905,203,343.77,1
201905,211,353.88,1
201906,202,639.88,1
201906,203,343.77,1
201906,211,353.88,1
201907,202,639.88,1
201907,203,343.77,1
201907,211,353.88,1
201908,202,639.88,1
201908,203,343.77,1
201908,211,353.88,1
201909,202,639.88,1
201909,203,343.77,1
201909,211,353.88,1
201910,202,639.88,1
201910,203,343.77,1
201910,211,353.88,1
201911,202,639.88,1
201911,203,343.77,1
201911,211,353.88,1
201912,202,639.92,1
201912,203,343.74,1
201912,211,353.86,1
202001,202,545.52,1
202001,203,290.44,1
202001,211,352.68,1
202002,202,545.52,1
202002,203,290.44,1
202002,211,352.68,1
202003,202,545.52,1
202003,203,290.44,1
202003,211,352.68,1
202004,202,545.52,1
202004,203,290.44,1
202004,211,352.68,1
202005,202,545.52,1
202005,203,290.44,1
202005,211,352.68,1
202006,202,545.52,1
202006,203,290.44,1
202006,211,352.68,1
202007,202,545.52,1
202007,203,290.44,1
202007,211,352.68,1
202008,202,545.52,1
202008,203,290.44,1
202008,211,352.68,1
202009,202,545.52,1
202009,203,290.44,1
202009,211,352.68,1
202010,202,545.52,1
202010,203,290.44,1
202010,211,352.68,1
202011,202,545.52,1
202011,203,290.44,1
202011,211,352.68,1
202012,202,545.54,1
202012,203,290.47,1
202012,211,352.69,1
202101,202,574.36,1
202101,203,284.82,1
202101,211,372.45,1
202102,202,574.36,1
202102,203,284.82,1
202102,211,372.45,1
202103,202,574.36,1
202103,203,284.82,1
202103,211,372.45,1
202104,202,574.36,1
202104,203,284.82,1
202104,211,372.45,1
202105,202,574.36,1
202105,203,284.82,1
202105,211,372.45,1
202106,202,574.36,1
202106,203,284.82,1
202106,211,372.45,1
202107,202,574.36,1
202107,203,284.82,1
202107,211,372.45,1
202108,202,574.36,1
202108,203,284.82,1
202108,211,372.45,1
202109,202,574.36,1
202109,203,284.82,1
202109,211,372.45,1
202110,202,574.36,1
202110,203,284.82,1
202110,211,372.45,1
202111,202,574.36,1
202111,203,284.82,1
202111,211,372.45,1
202112,202,574.37,1
202112,203,284.79,1
202112,211,372.5,1
202201,202,570.5,1
202201,203,297.41,1
202201,211,421.33,1
202202,202,570.5,1
202202,203,297.41,1
202202,211,421.33,1
202203,202,570.5,1
202203,203,297.41,1
202203,211,421.33,1
202204,202,570.5,1
202204,203,297.41,1
202204,211,421.33,1
202205,202,570.5,1
202205,203,297.41,1
202205,211,421.33,1
202206,202,570.5,1
202206,203,297.41,1
202206,211,421.33,1
202207,202,570.5,1
202207,203,297.41,1
202207,211,421.33,1
202208,202,570.5,1
202208,203,297.41,1
202208,211,421.33,1
202209,202,570.5,1
202209,203,297.41,1
202209,211,421.33,1
202210,202,570.5,1
202210,203,297.41,1
202210,211,421.33,1
202211,202,570.5,1
202211,203,297.41,1
202211,211,421.33,1
202212,202,570.51,1
202212,203,297.4,1
202212,211,421.33,1
202301,202,582.09,1
202301,203,305.11,1
202301,211,424.5,1
202302,202,582.09,1
202302,203,305.11,1
202302,211,424.5,1
202303,202,582.09,1
202303,203,305.11,1
202303,211,424.5,1
202304,202,582.09,1
202304,203,305.11,1
202304,211,424.5,1
202305,202,582.09,1
202305,203,305.11,1
202305,211,424.5,1
202306,202,582.09,1
202306,203,305.11,1
202306,211,424.5,1
202307,202,582.09,1
202307,203,305.11,1
202307,211,424.5,1
202308,202,582.09,1
202308,203,305.11,1
202308,211,424.5,1
202309,202,582.09,1
202309,203,305.11,1
202309,211,424.5,1
202310,202,582.09,1
202310,203,305.11,1
202310,211,424.5,1
202311,202,582.09,1
202311,203,305.11,1
202311,211,424.5,1
202312,202,582.13,1
202312,203,305.07,1
202312,211,424.45,1
202401,202,588.93,1
202401,203,299.62,1
202401,211,435.82,1
202402,202,588.93,1
202402,203,299.62,1
202402,211,435.82,1
202403,202,588.93,1
202403,203,299.62,1
202403,211,435.82,1
202404,202,588.93,1
202404,203,299.62,1
202404,211,435.82,1
202405,202,588.93,1
202405,203,299.62,1
202405,211,435.82,1
202406,202,588.93,1
202406,203,299.62,1
202406,211,435.82,1
202407,202,588.93,1
202407,203,299.62,1
202407,211,435.82,1
202408,202,588.93,1
202408,203,299.62,1
202408,211,435.82,1
202409,202,588.93,1
202409,203,299.62,1
202409,211,435.82,1
202410,202,588.93,1
202410,203,299.62,1
202410,211,435.82,1
202411,202,588.93,1
202411,203,299.62,1
202411,211,435.82,1
202412,202,588.97,1
202412,203,299.65,1
202412,211,435.76,1
