Date,Revenue,Final_Forecast,Stress_Case_P10,Pessimistic_Case_P30,Optimistic_Case_P70,Diff
202301,2120.17,1863.86,1283.09,1673.5,2081.75,256.3100000000002
202302,1817.49,2133.74,1552.97,1943.38,2359.48,-316.2499999999998
202303,2455.1,2494.08,1908.53,2303.72,2719.82,-38.98000000000002
202304,2507.32,2452.9,1867.35,2262.54,2678.64,54.42000000000007
202305,2820.73,2397.58,1816.33,2207.22,2623.32,423.1500000000001
202306,3502.86,2980.11,2394.56,2789.75,3205.85,522.75
202307,2581.04,2183.8,1598.25,1973.61,2401.69,397.2399999999998
202308,2064.85,1785.16,1204.39,1594.8,2010.9,279.6899999999998
202309,3595.04,3065.78,2485.01,2875.42,3291.52,529.2599999999998
202310,2805.37,3121.2,2540.43,2911.01,3339.09,-315.8299999999999
202311,2685.53,3016.71,2435.94,2826.35,3242.45,-331.17999999999984
202312,1771.44,2532.42,1951.65,2342.06,2758.16,-760.98
202401,1753.45,2129.7,1548.93,1939.34,2355.44,-376.2499999999998
202402,2045.67,2155.25,1569.7,1945.06,2373.14,-109.57999999999993
202403,2429.43,2580.88,1995.33,2370.69,2798.77,-151.45000000000027
202404,2517.76,2663.61,2082.84,2473.25,2889.35,-145.8499999999999
202405,2890.29,2647.63,2062.08,2437.44,2865.52,242.65999999999985
202406,2959.34,2906.86,2326.09,2716.5,3132.6,52.48000000000002
202407,2697.61,2351.62,1766.07,2141.43,2577.36,345.99000000000024
202408,1695.65,2002.8,1417.25,1812.44,2220.69,-307.14999999999986
202409,3661.04,2947.11,2361.56,2736.92,3165.0,713.9299999999998
202410,3214.65,3320.51,2734.96,3130.15,3538.4,-105.86000000000013
202411,3294.93,3114.61,2533.84,2904.42,3332.5,180.3199999999997
202412,2954.51,3184.42,2603.65,2974.23,3402.31,-229.90999999999985
